time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450400000	14.1225	20.6817	4.93856	2.79589	0.509084	lidar	0.684504	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8817	20.7554	4.95974	2.83099	0.529644	radar	0.336733	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6037	20.8206	5.02926	2.86532	0.536978	lidar	1.4927	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3512	20.8539	5.05492	2.91808	0.587701	radar	2.31014	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1112	20.8899	5.0271	2.9524	0.593294	lidar	0.206662	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8783	20.9495	5.00557	2.97327	0.580985	radar	1.82653	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6947	20.9836	4.87931	2.99912	0.580131	lidar	2.15396	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4372	21.027	4.92396	3.02598	0.579252	radar	2.51753	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1919	21.0629	4.93229	3.051	0.574879	lidar	0.130322	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9535	21.0826	4.92968	3.082	0.582465	radar	0.955295	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7176	21.0494	4.88468	3.12748	0.600942	lidar	1.91605	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4712	21.0357	4.88284	3.16278	0.606783	radar	1.07167	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2641	21.0251	4.8091	3.19402	0.609553	lidar	0.677018	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0092	20.9868	4.83247	3.2331	0.618796	radar	4.13525	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8076	20.9454	4.75085	3.2715	0.629023	lidar	0.473276	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5641	20.942	4.69848	3.27802	0.580131	radar	5.59112	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.267	20.9769	4.841	3.27533	0.541484	lidar	3.61032	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0304	20.9574	4.83164	3.29504	0.531403	radar	1.01793	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84932	20.9148	4.7185	3.32747	0.540672	lidar	1.51212	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62517	20.9017	4.63009	3.32948	0.493242	radar	2.08671	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.43985	20.8498	4.54828	3.36088	0.502587	lidar	0.645259	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.22776	20.8041	4.54297	3.38638	0.5065	radar	1.41189	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90945	20.7822	4.73511	3.38533	0.473121	lidar	2.92755	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70261	20.7001	4.70596	3.423	0.49277	radar	4.32986	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40855	20.6219	4.84231	3.44214	0.483682	lidar	3.0143	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17971	20.5419	4.85413	3.47089	0.491983	radar	0.0846072	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93143	20.4633	4.89209	3.49148	0.486749	lidar	0.138124	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71464	20.3774	4.91463	3.52399	0.506586	radar	3.42078	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.38304	20.3233	5.10528	3.51558	0.465346	lidar	3.10473	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.14547	20.2291	5.08964	3.53544	0.457369	radar	0.240131	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.87712	20.1457	5.1504	3.54569	0.442292	lidar	0.365487	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.6486	20.0558	5.11097	3.56108	0.430398	radar	0.563671	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.40363	19.9628	5.13033	3.57528	0.42205	lidar	0.162278	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.18572	19.87	5.09932	3.59324	0.419789	radar	2.97332	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.92164	19.7756	5.15875	3.60012	0.40316	lidar	0.439587	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.68042	19.632	5.2482	3.63512	0.431298	radar	1.73635	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52634	19.5045	5.10809	3.67353	0.452763	lidar	1.97645	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.32401	19.3559	5.09894	3.70699	0.467492	radar	1.82902	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11861	19.2526	5.06359	3.72043	0.457397	lidar	1.98692	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93746	19.14	4.93932	3.73522	0.440196	radar	4.68386	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78763	18.9892	4.85236	3.77429	0.461467	lidar	0.731111	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57423	18.8389	4.93447	3.79802	0.468342	radar	1.56686	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40306	18.7074	4.88097	3.82083	0.469071	lidar	1.08492	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.23142	18.5641	4.79137	3.84026	0.457413	radar	1.18656	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
